Round,Responder,Response,Correctresponse,Isresponsecorrect,Responsetime,Responsetimestamp,Player1Id,Player1Points,Player1Numeratorrank,Player1Numeratorsuit,Player1Numeratorcardtype,Player1Denominatorrank,Player1Denominatorsuit,Player1Denominatorcardtype,Player1Handvalue,Player2Id,Player2Points,Player2Numeratorrank,Player2Numeratorsuit,Player2Numeratorcardtype,Player2Denominatorrank,Player2Denominatorsuit,Player2Denominatorcardtype,Player2Handvalue
28,player1,swipeRight,swipeRight,correct,0.8200000000000001,192.68,DSC-1,7,5.0,clubs,r,7.0,clubs,r,0.71,Computer,25,4.0,diamonds,r,4.0,clubs,r,1.0
29,player1,swipeRight,swipeLeft,incorrect,0.39,196.98000000000002,DSC-1,7,9.0,hearts,r,10.0,spades,r,0.9,Computer,26,4.0,clubs,r,9.0,diamonds,r,0.44
30,player1,swipeRight,swipeLeft,incorrect,1.44,202.21,DSC-1,7,2.0,hearts,r,2.0,diamonds,r,1.0,Computer,27,3.0,hearts,r,6.0,spades,r,0.5
31,player1,swipeLeft,declareWar,incorrect,1.72,207.47,DSC-1,7,1.0,diamonds,r,2.0,spades,r,0.5,Computer,30,5.0,hearts,r,10.0,diamonds,r,0.5
32,player1,swipeLeft,swipeRight,incorrect,1.81,213.05,DSC-1,7,5.0,clubs,r,9.0,hearts,r,0.56,Computer,31,4.0,spades,r,5.0,diamonds,r,0.8
33,player1,swipeLeft,swipeRight,incorrect,1.28,219.65,DSC-1,7,6.0,spades,r,9.0,diamonds,r,0.67,Computer,32,6.0,clubs,r,8.0,hearts,r,0.75
34,player1,swipeLeft,swipeLeft,correct,1.11,224.33,DSC-1,8,2.0,clubs,r,3.0,diamonds,r,0.67,Computer,32,4.0,diamonds,r,8.0,clubs,r,0.5
35,player1,swipeRight,swipeRight,correct,2.08,230.05,DSC-1,9,3.0,spades,r,9.0,spades,r,0.33,Computer,32,5.0,spades,r,8.0,spades,r,0.63
36,player1,swipeLeft,swipeLeft,correct,1.74,234.52,DSC-1,10,4.0,clubs,r,9.0,diamonds,r,0.44,Computer,32,3.0,clubs,r,9.0,clubs,r,0.33
37,player1,swipeLeft,swipeLeft,correct,2.05,239.38,DSC-1,11,9.0,hearts,r,10.0,spades,r,0.9,Computer,32,1.0,diamonds,r,7.0,spades,r,0.14
38,player1,tapP1,swipeRight,incorrect,3.44,247.45000000000002,DSC-1,11,2.0,hearts,r,6.0,spades,r,0.33,Computer,33,10.0,clubs,r,10.0,diamonds,r,1.0
39,player1,swipeLeft,declareWar,incorrect,0.87,251.22,DSC-1,11,2.0,diamonds,r,3.0,hearts,r,0.67,Computer,36,2.0,clubs,r,3.0,spades,r,0.67
40,player1,swipeLeft,swipeRight,incorrect,1.84,256.48,DSC-1,11,2.0,clubs,r,8.0,clubs,r,0.25,Computer,37,6.0,diamonds,r,6.0,diamonds,r,1.0
41,player1,swipeLeft,swipeLeft,correct,0.5,259.9,DSC-1,12,4.0,clubs,r,9.0,diamonds,r,0.44,Computer,37,1.0,clubs,r,10.0,spades,r,0.1
42,player1,swipeLeft,swipeRight,incorrect,0.34,263.7,DSC-1,12,3.0,clubs,r,9.0,clubs,r,0.33,Computer,38,7.0,clubs,r,8.0,clubs,r,0.88
43,player1,swipeRight,swipeRight,correct,0.93,267.37,DSC-1,13,1.0,diamonds,r,10.0,spades,r,0.1,Computer,38,1.0,hearts,r,9.0,spades,r,0.11
44,player1,swipeLeft,swipeLeft,correct,0.68,271.5,DSC-1,14,7.0,spades,r,9.0,hearts,r,0.78,Computer,38,2.0,spades,r,3.0,diamonds,r,0.67
45,player1,swipeLeft,swipeRight,incorrect,1.01,276.0,DSC-1,14,1.0,clubs,r,10.0,spades,r,0.1,Computer,39,1.0,hearts,r,4.0,hearts,r,0.25
46,player1,swipeLeft,swipeRight,incorrect,0.68,280.27,DSC-1,14,4.0,clubs,r,9.0,diamonds,r,0.44,Computer,40,7.0,diamonds,r,9.0,clubs,r,0.78
47,player1,swipeRight,swipeLeft,incorrect,0.54,284.22,DSC-1,14,2.0,spades,r,3.0,diamonds,r,0.67,Computer,41,1.0,spades,r,8.0,spades,r,0.13
48,player1,swipeLeft,swipeLeft,correct,0.42,290.5,DSC-1,15,7.0,spades,r,9.0,hearts,r,0.78,Computer,41,4.0,hearts,r,7.0,spades,r,0.5700000000000001
49,player1,swipeLeft,swipeLeft,correct,0.66,294.04,DSC-1,16,3.0,diamonds,r,8.0,spades,r,0.38,Computer,41,1.0,clubs,r,8.0,diamonds,r,0.13
50,player1,swipeLeft,swipeRight,incorrect,0.68,297.47,DSC-1,16,1.0,spades,r,2.0,spades,r,0.5,Computer,42,5.0,diamonds,r,8.0,hearts,r,0.63
51,player1,swipeLeft,swipeRight,incorrect,0.44,300.71,DSC-1,16,4.0,hearts,r,7.0,spades,r,0.5700000000000001,Computer,43,4.0,clubs,r,5.0,clubs,r,0.8
52,player1,swipeLeft,swipeLeft,correct,0.84,304.67,DSC-1,17,7.0,spades,r,9.0,hearts,r,0.78,Computer,43,4.0,diamonds,r,7.0,clubs,r,0.5700000000000001
53,player1,swipeRight,swipeRight,correct,1.77,309.90000000000003,DSC-1,18,1.0,clubs,r,8.0,spades,r,0.13,Computer,43,4.0,spades,r,5.0,clubs,r,0.8
54,player1,swipeLeft,swipeLeft,correct,0.86,314.62,DSC-1,19,3.0,diamonds,r,8.0,diamonds,r,0.38,Computer,43,1.0,spades,r,4.0,spades,r,0.25
55,player1,swipeLeft,swipeLeft,correct,0.79,318.99,DSC-1,20,4.0,diamonds,r,7.0,clubs,r,0.5700000000000001,Computer,43,5.0,hearts,r,10.0,clubs,r,0.5
56,player1,swipeLeft,swipeLeft,correct,1.3,323.12,DSC-1,21,7.0,spades,r,9.0,hearts,r,0.78,Computer,43,6.0,clubs,r,10.0,diamonds,r,0.6
57,player1,swipeLeft,swipeLeft,correct,0.65,326.56,DSC-1,22,1.0,spades,r,3.0,diamonds,r,0.33,Computer,43,1.0,diamonds,r,9.0,hearts,r,0.11
58,player1,swipeLeft,swipeLeft,correct,0.49,331.09000000000003,DSC-1,23,4.0,spades,r,8.0,diamonds,r,0.5,Computer,43,2.0,spades,r,5.0,diamonds,r,0.4
59,player1,swipeLeft,swipeRight,incorrect,0.81,335.42,DSC-1,23,4.0,diamonds,r,10.0,clubs,r,0.4,Computer,44,6.0,spades,r,9.0,diamonds,r,0.67
60,player1,swipeLeft,swipeRight,incorrect,0.24,341.62,DSC-1,23,5.0,hearts,r,7.0,clubs,r,0.71,Computer,45,6.0,clubs,r,8.0,hearts,r,0.75
